ISO3,Country Name,Languages
ALB,Albania,Albanian
DZA,Algeria,Arabic,Tamazight
AND,Andorra,Catalan
AGO,Angola,Portuguese
ATG,Antigua and Barbuda,English
ARG,Argentina,Spanish
ARM,Armenia,Armenian
AUS,Australia,English
AUT,Austria,German
AZE,Azerbaijan,Azerbaijani
BHS,Bahamas,English
BHR,Bahrain,Arabic
BGD,Bangladesh,Bengali
BRB,Barbados,English
BLR,Belarus,Belarusian,Russian
BEL,Belgium,Dutch,French,German
BLZ,Belize,English
BEN,Benin,French
BTN,Bhutan,Dzongkha
BOL,Bolivia (Plurinational State of),Spanish
BIH,Bosnia and Herzegovina,Bosnia,Croatian,Serbian
BWA,Botswana,Tswana,English
BRA,Brazil,Portuguese
BRN,Brunei Darussalam,Malay,English
BGR,Bulgaria,Bulgarian
BFA,Burkina Faso,French
BDI,Burundi,Kirundi,French,English
CPV,Cabo Verde,Portuguese
KHM,Cambodia,Khmer
CMR,Cameroon,English,French
CAN,Canada,English,French
CAF,Central African Republic,Sango,French
TCD,Chad,Arabic,French
CHL,Chile,Spanish
CHN,China,Standard Chinese
COL,Colombia,Spanish
COM,Comoros,Arabic,Comorian
COG,Congo,French
COK,Cook Islands,Cook Islands Maori
CRI,Costa Rica,Spanish
